episode,step,force_max,force_tip,angle_bend,angle_bend_span,angle_centerline,dist_to_centerline,tip_index,inserted,arch_type
0,20,0.4471738168733365,0.4471738168733365,3.2771361298114003,16.499682274542963,68.93330899968862,7.137409541721198,61,73.66516339111331,ArchType.II
0,21,0.42908065626956154,0.42908065626956154,3.2777290524363334,16.521594580475327,69.75810497423983,6.985299403517777,61,76.73613072204603,ArchType.II
0,22,0.4096582670466339,0.4096582670466339,3.2771388403606823,16.522618178555128,70.50486420530795,7.033961560867293,61,79.79417872619638,ArchType.II
0,23,0.3897968520013778,0.3897968520013778,3.2763525502329904,16.514639539863836,70.77303451692714,6.999750451047182,61,82.83878321838375,ArchType.II
0,24,0.3707533875325412,0.3707533875325412,3.275762051198389,16.503736260539462,71.48222652018583,7.160208802622445,61,85.77292109680181,ArchType.II
0,25,0.35133743946184426,0.35133743946184426,3.276044247130436,16.495885510020084,71.72712705095245,7.243703103536817,61,88.53897479248045,ArchType.II
0,26,0.39256094080089304,0.39256094080089304,3.2782817663326815,16.521319183118894,71.94243638156145,7.263685856455071,61,91.15146136474618,ArchType.II
0,27,0.3761350544863093,0.3761350544863093,3.2797147418379975,16.53188549872982,72.41727901979326,7.231532199641199,61,93.60879718017577,ArchType.II
0,28,0.36080184540081706,0.36080184540081706,3.2804521171669796,16.532837182873216,72.38595990603228,7.256982640807837,61,95.93828669738781,ArchType.II
0,29,0.3467167015490803,0.3467167015490803,3.280748618695267,16.528809502377637,72.33218771617001,7.361787911961401,61,98.13274842834483,ArchType.II
0,30,0.36306886771420593,0.36306886771420593,3.2813276030153267,16.535461825576522,72.19843505992178,7.421951781025612,61,100.32400764465339,ArchType.II
0,31,0.35020970667571993,0.35020970667571993,3.281587369663574,16.538064569624055,71.19260079182186,7.4447114889120325,61,102.56903184509292,ArchType.II
0,32,0.33772446472953166,0.33772446472953166,3.2815085904258607,16.534812153795702,69.87930847092467,7.390650737889794,61,104.8806472015383,ArchType.II
0,33,0.32541101247616516,0.32541101247616516,3.281256054240524,16.528648938370434,68.1724150673326,7.28139942537344,61,107.28050392150902,ArchType.II
0,34,0.22635385734104482,0.22635385734104482,3.279819364525633,16.497617142120482,64.31742966037045,7.3115240935195205,61,109.7544545440675,ArchType.II
0,35,0.21904887089562283,0.21904887089562283,3.2778616905887046,16.453997129437546,62.23274023265297,7.429089905993963,61,112.29627632141114,ArchType.II
0,36,0.2098158000329725,0.2098158000329725,3.2767809545082884,16.430534921510873,60.36727589463675,7.501225494506615,61,114.88824615478507,ArchType.II
0,37,0.200350371888804,0.200350371888804,3.2761512949195786,16.417233608502034,56.83627677961473,7.35934768757232,61,117.51783546447749,ArchType.II
0,38,0.1368945119421753,0.1368945119421753,3.275427072296641,16.403036032159378,55.2677273058882,7.34136396411458,61,120.15794876098619,ArchType.II
0,39,0.15571025423329424,0.15571025423329424,3.2744105046672,16.380182176582643,52.00873759178033,7.541699441665391,61,122.799995147705,ArchType.II
0,40,0.14466352064811333,0.14466352064811333,3.273944415044438,16.3702949688444,50.366541950770326,7.564592023634074,61,125.41855844116213,ArchType.II
0,41,0.13724794480002359,0.13724794480002359,3.273712564057431,16.365964535156518,47.00341316510644,7.455130996515631,61,128.03152740478527,ArchType.II
0,42,0.05854503355074376,0.05854503355074376,3.273553093025458,16.363753191124445,45.414301793810274,7.335037780285499,61,130.637724761963,ArchType.II
0,43,0.10499409282676425,0.10499409282676425,3.273094720926549,16.355802392948938,42.4884216814543,7.518362316478076,61,133.22884361267086,ArchType.II
