wall_time,episode,steps,end_reason,success,ep_return,ep_cost,ep_penalty,reward_penalty_weight,force_mean,force_max,force_p95,steps_over_threshold,hinge_cost_shadow,excess_mean,excess_max,clamp_steps,inserted_final,path_length_at_reset,cost_fn,seed,arch_type,arch_seed,train_pool,env_instance
1784895055.022157,22,200,steve_truncation,0,-0.8926467809321295,0.0,0.0,0.0,0.12727222924833007,1.4327598719688706,0.180194378651805,2,0.608995679434569,0.0030449783971728452,0.5827598719688706,0,116.35243132019139,321.8698378120227,ZeroCost,100,ArchType.II,201999,1,1
1784895076.1942077,23,200,steve_truncation,0,-0.9191299316167764,0.0,0.0,0.0,0.16322414835730803,0.49208419549052196,0.24288697956454255,0,0.0,0.0,0.0,0,86.02013961792191,284.1689509581481,ZeroCost,100,ArchType.II,882036,1,1
1784895093.788152,24,200,steve_truncation,0,-0.8616596166859575,0.0,0.0,0.0,0.4181753332493207,0.9633606287120295,0.6237055209265521,2,0.12199021366935603,0.0006099510683467801,0.11336062871202957,0,149.3890039367689,301.75306469594784,ZeroCost,100,ArchType.I,958165,1,1
1784895115.486225,25,200,steve_truncation,0,-0.8570646690654743,0.0,0.0,0.0,0.17213108494259696,2.6062388481273917,0.27653724946360003,3,2.9376861797510405,0.014688430898755203,1.7562388481273916,0,152.3818671722389,308.7095571697427,ZeroCost,100,ArchType.II,469964,1,1
1784895123.9189816,26,46,target_reached,1,0.9715761859792614,0.0,0.0,0.0,1.851144068969383,32.77809493904566,5.052323280550793,13,31.021103897166768,0.6743718238514514,4.15,0,224.9671844482421,207.68613652171143,ZeroCost,100,ArchType.V,132766,1,1
1784895149.418119,27,200,steve_truncation,0,-0.8598999352494114,0.0,0.0,0.0,0.1960002878692263,0.6532035184051143,0.5046379070615088,0,0.0,0.0,0.0,0,149.43613830566315,313.04899749926744,ZeroCost,100,ArchType.I,638688,1,1
1784895167.337679,28,200,steve_truncation,0,-0.8612380884740138,0.0,0.0,0.0,0.17951944391020205,0.63395439593014,0.4647832120177723,0,0.0,0.0,0.0,0,147.8044596099854,289.1917330333786,ZeroCost,100,ArchType.II,752148,1,1
1784895176.7021203,29,55,target_reached,1,0.9658366946182319,0.0,0.0,0.0,1.2068173142441943,9.531759379810264,4.029557656257268,20,33.96549914909096,0.617554529983472,4.15,0,212.76079608917146,246.49118032074648,ZeroCost,100,ArchType.IV,723267,1,1
1784895191.726757,30,200,steve_truncation,0,-0.8740041697834401,0.0,0.0,0.0,0.19884211736749516,1.5800702323197768,0.32789075566268966,2,1.36393895047967,0.00681969475239835,0.7300702323197769,0,131.83733639525983,283.0679318273497,ZeroCost,100,ArchType.IV,553837,1,1
1784895197.4928749,31,41,target_reached,1,0.97822020729709,0.0,0.0,0.0,0.9854424072532771,5.158612243867134,4.2283646783515465,10,25.160305089863343,0.613665977801545,4.15,0,200.6175279846178,188.6257415645156,ZeroCost,100,ArchType.IV,568832,1,1
1784895219.9778543,32,200,steve_truncation,0,-0.9090120685028861,0.0,0.0,0.0,0.109254113489278,3.0160390671002077,0.14471678891622264,3,3.677091002524417,0.018385455012622086,2.1660390671002077,0,99.41060313415348,279.3364147827573,ZeroCost,100,ArchType.IV,507054,1,1
1784895229.6798482,33,62,target_reached,1,0.89036284004741,0.0,0.0,0.0,2.3259171066806776,35.16649026417687,8.534429686171894,29,60.33489436678586,0.9731434575288042,4.15,0,189.28207934570224,206.0081866889506,ZeroCost,100,ArchType.V,798493,1,1
1784895357.2495015,34,200,steve_truncation,0,-0.7879335636234106,0.0,0.0,0.0,131.83792972716742,1874.9780996471789,379.00259980983896,161,564.8601769652128,2.824300884826064,4.15,79,383.4064346389777,254.1207318654581,ZeroCost,100,ArchType.I,853351,1,1
1784895371.8291986,35,200,steve_truncation,0,-0.8550883113967738,0.0,0.0,0.0,0.017776295416811833,1.4338202583659125,0.0,2,0.6904339362165096,0.003452169681082548,0.5838202583659126,0,146.51988566589318,299.62574688774095,ZeroCost,100,ArchType.I,933712,1,1
1784895393.5308034,36,200,steve_truncation,0,-0.9053677456588708,0.0,0.0,0.0,0.17258197860906158,1.4003108050098723,0.5639553855762222,2,1.005709655662121,0.005028548278310605,0.5503108050098723,0,102.89435597228947,293.6902017093032,ZeroCost,100,ArchType.IV,683155,1,1
1784895417.9377868,37,200,steve_truncation,0,-0.8602123977624945,0.0,0.0,0.0,0.1363314955384667,4.207646575902889,0.17463217662454897,4,6.5102303756273425,0.03255115187813671,3.3576465759028893,0,146.57355497741312,248.01676825051908,ZeroCost,100,ArchType.V,264800,1,1
